mupparšu,N,,flying one
mušašqû,N,,irrigator
muttabbilu,N,,servant
mūtu,N,,death
naʾāru,V,,outroar,roar
nāʾeru,AJ,,roaring
nabû,V,,call
nadānu,V,,confer,give
nâdu,V,,praise
nadû,V,,abandon,cast,fall
nadû,AJ,,overthrown
nagāšu,V,,go to(wards)
nagbu,N,,source
nâhu,V,,rest
nakāsu,V,,cut down,cut off
nakru,N,,enemy
nalbāšu,N,,cloak
namirtu,N,,light
namurratu,N,,awe-inspiring radiance
nanduru,AJ,,ferocious
napāhu,V,,light up
naparšudu,V,,leave
napharu,N,,total
napihtu,N,,kindling
napištu,N,,life
naprušu,V,,fly
narāmu,N,,loved one
narbû,N,,greatness
nāru,N,,river
naspantu,N,,devastation
naṣāru,V,,heed
našāqu,V,,kiss
našû,AJ,,carrying
naṭālu,V,,look,observe,see
nawru,AJ,,bright
nêʾu,V,,turn back
nēmequ,N,,wisdom
nērebu,N,,entrance
nêru,V,,kill,killing
nigûtu,N,,joyful song
nīlu,N,,flood
nišu,N,,people
nūru,N,,light
pâ epēšu,V,,open the mouth (to speak)
pahru,AJ,,gathering
pakku,N,,wits
palāhu,V,,fear
palhu,AJ,,frightened
palhu,N,,reverent one
pāna,AV,,formerly
pānu,N,,face,presence
parakku,N,,cult dais
parāku,V,,block
parṣu,N,,cultic regulation,divine power
parû,N,,mule
pasālu,V,,turn (away)
pašāhu,V,,be(come) spent
pirištu,N,,secret lore
pû,N,,mouth
puhru,N,,assembly
pulukku,N,,boundary
qablu,N,,battle force,battle
qabû,V,,pronounce,say,speak
qabû,N,,speech
qâlu,V,,attend
qanû,N,,reed arrow
qarādu,V,,be(come) brave
qarāru,V,,roll
qardu,N,,heroism
qardu,AJ,,valiant
qarrādu,N,,hero
qarrādūtu,N,,heroism
qaštu,N,,bow
qatāru,V,,be(come) despondent
qatû,V,,complete (its course)
qātu,N,,hand
qerbetu,N,,meadow
qerbu,N,,centre,interior
qiāpu,V,,(en)trust
qiāšu,V,,give
qibītu,N,,command
qištu,N,,forest
quʾʾû,V,,await
qūlu,N,,silence
qurādu,N,,hero
raʾābu,V,,be(come) furious
rābiṣu,N,,guardian
rabû,V,,be(come) great,magnify
rabû,AJ,,great
rahāṣu,V,,devastate
