tlemma+rlemma+slemma,ruler,count
ašābu+ina+libbu,Tiglath-pileser III,1
ašābu+ina+muhhu,Esarhaddon,1
ašābu+ina+pānu,Tiglath-pileser III,1
ašāru+ana+qātu,Esarhaddon,1
ašāru+ina+muhhu,Sargon II,1
ašāru+ina+qātu,Ashurbanipal,1
ašāru+ina+qātu,Esarhaddon or Ashurbanipal,1
aṣû+ana+muhhu,Ashurbanipal,1
aṣû+ina+libbu,Ashurbanipal,1
aṣû+ina+libbu,Esarhaddon,1
halāqu+ina+muhhu,Ashurbanipal,1
halāqu+ina+muhhu,Tiglath-pileser III,1
halāqu+ištu+libbu,Esarhaddon,1
nadû+ana+pānu,Esarhaddon or Ashurbanipal,1
matāhu+ištu+libbu,Esarhaddon,1
maṭû+ina+libbu,Sargon II,1
mâtu+ana+muhhu,Ashurbanipal,1
mâtu+ina+muhhu,Esarhaddon,1
mâtu+ina+muhhu,Tiglath-pileser III,1
mītu+ina+muhhu,Ashurbanipal,1
nabāhu+ana+libbu,Esarhaddon,1
nadû+ina+muhhu,Ashurbanipal,1
maqātu+ina+pû,Esarhaddon or Ashurbanipal,1
nadānu+ana+ahu,Sargon II,1
nadānu+ana+muhhu,Esarhaddon,1
nadānu+ina+qātu,Ashurbanipal,1
nadānu+ina+qātu,Esarhaddon,1
nahāsu+ana+pānu,Esarhaddon,1
nahāsu+ana+pānu,Sargon II,1
nakāru+ištu+muhhu,Esarhaddon or Ashurbanipal,1
maqātu+ina+pānu,Tiglath-pileser III,1
maqātu+ina+muhhu,Ashurbanipal,1
mahāṣu+ana+muhhu,Ashurbanipal,1
malû+ana+qātu,Tiglath-pileser III,1
mahāṣu+ina+muhhu,Tiglath-pileser III,1
mahāṣu+ina+pānu,Ashurbanipal,1
mahāṣu+ina+pānātu,Ashurbanipal,1
mahṣu+ina+pû,Esarhaddon,1
malû+ana+muhhu,Esarhaddon,1
malû+ana+qātu,Ashurbanipal,1
malû+ana+qātu,Esarhaddon,1
malû+ina+pû,Tiglath-pileser III,1
maqātu+ina+libbu,Esarhaddon or Ashurbanipal,1
malāhu+ištu+libbu,Esarhaddon,1
manû+ana+qātu,Sargon II,1
manû+ina+qātu,Ashurbanipal,1
manû+ina+qātu,Esarhaddon,1
manû+ina+qātu,Sargon II,1
maqātu+ana+libbu,Ashurbanipal,1
maqātu+ana+pānu,Sargon II,1
nakāru+ištu+pānu,Ashurbanipal,1
nakāsu+ana+libbu,Sargon II,1
namāšu+ištu+libbu,Esarhaddon,1
nâlu+ina+libbu,Esarhaddon,1
našû+ištu+pānu,Esarhaddon,1
našāru+ina+pû,Ashurbanipal,1
naṣāru+ina+rēšu,Tiglath-pileser III,1
naṣāru+ištu+libbu,Ashurbanipal,1
naṣāru+ištu+pānu,Esarhaddon or Ashurbanipal,1
nâhu+ina+muhhu,Esarhaddon,1
nâhu+ina+qātu,Ashurbanipal,1
pahāru+ana+muhhu,Esarhaddon,1
napāhu+ina+libbu,Ashurbanipal,1
pahāru+ina+libbu,Esarhaddon,1
palhu+ana+pû,Sargon II,1
palhu+ina+muhhu,Ashurbanipal,1
palhu+ina+muhhu,Tiglath-pileser III or Sargon II,1
palāhu+ina+ahu,Esarhaddon,1
palāhu+ina+libbu,Esarhaddon,1
palāhu+ina+muhhu,Ashurbanipal,1
našû+ištu+pānu,Ashurbanipal,1
našû+ištu+muhhu,Sargon II,1
našû+ištu+libbu,Tiglath-pileser III,1
našû+ištu+libbu,Sargon II,1
napāhu+ina+muhhu,Ashurbanipal,1
nasāhu+ištu+libbu,Ashurbanipal,1
nasāhu+ištu+libbu,Esarhaddon or Ashurbanipal,1
nasāhu+ištu+muhhu,Tiglath-pileser III,1
nasāhu+ištu+pānu,Esarhaddon,1
nasāku+ana+muhhu,Ashurbanipal,1
natāku+ina+libbu,Esarhaddon,1
nazāru+ina+pānu,Esarhaddon,1
našû+ana+ahu,Tiglath-pileser III,1
našû+ana+pû,Tiglath-pileser III,1
našû+ina+libbu,Esarhaddon,1
našû+ina+pānu,Esarhaddon,1
našû+ina+pūtu,Tiglath-pileser III,1
našû+ina+qātu,Esarhaddon or Ashurbanipal,1
našû+ištu+libbu,Ashurbanipal,1
mahāṣu+ina+libbu,Ashurbanipal,1
mahāru+ina+qātu,Tiglath-pileser III,1
halāqu+ištu+pānu,Ashurbanipal,1
kamsu+ana+pānu,Tiglath-pileser III,1
izuzzu+ina+pānātu,Esarhaddon,1
izuzzu+ina+rēšu,Esarhaddon,1
izuzzu+ištu+rēšu,Ashurbanipal,1
kabāsu+ina+muhhu,Esarhaddon,1
kalû+ina+pānu,Ashurbanipal,1
kalû+ina+pānu,Sennacherib,1
kalû+ina+pānu,Tiglath-pileser III,1
kamsu+ina+libbu,Esarhaddon or Ashurbanipal,1
izuzzu+ina+muhhu,Esarhaddon or Ashurbanipal,1
kamsu+ina+libbu,Tiglath-pileser III,1
kamsu+ina+muhhu,Ashurbanipal,1
kamsu+ina+muhhu,Esarhaddon,1
kamsu+ina+muhhu,Esarhaddon or Ashurbanipal,1
kamsu+ina+muhhu,Sargon II,1
kamsu+ina+pānu,Tiglath-pileser III,1
kamāru+ina+muhhu,Esarhaddon,1
izuzzu+ina+pānu,Sargon II,1
izuzzu+ina+muhhu,Ashurbanipal,1
mahāru+ina+pānu,Esarhaddon or Ashurbanipal,1
haṭû+ina+libbu,Sargon II,1
halāqu+ištu+qātu,Esarhaddon,1
hamû+ina+pānu,Sargon II,1
hardu+ištu+pānu,Ashurbanipal,1
harādu+ina+muhhu,Esarhaddon,1
harāpu+ina+muhhu,Tiglath-pileser III,1
hasāsu+ištu+muhhu,Tiglath-pileser III,1
hašālu+ina+pānu,Tiglath-pileser III,1
haṭû+ina+libbu,Sennacherib,1
izuzzu+ina+libbu,Sargon II,1
haṭû+ina+pānu,Ashurbanipal,1
haṭû+ištu+rēšu,Ashurbanipal,1
hepû+ina+libbu,Ashurbanipal,1
hepû+ina+muhhu,Ashurbanipal,1
izuzzu+ana+pānu,Ashurbanipal,1
izuzzu+ina+libbu,Esarhaddon,1
izuzzu+ina+libbu,Esarhaddon or Ashurbanipal,1
kamāsu+ina+pānu,Esarhaddon,1
kanāku+ina+libbu,Esarhaddon,1
kapādu+ina+muhhu,Ashurbanipal,1
madādu+ina+muhhu,Esarhaddon,1
laššu+ina+libbu,Esarhaddon,1
laššu+ina+libbu,Tiglath-pileser III,1
laššu+ina+pānu,Esarhaddon or Ashurbanipal,1
laššu+ina+pānu,Sargon II,1
leqû+ina+libbu,Esarhaddon,1
leqû+ištu+libbu,Esarhaddon or Ashurbanipal,1
madādu+ina+muhhu,Ashurbanipal,1
magāru+ana+muhhu,Sargon II,1
karābu+ina+libbu,Ashurbanipal,1
magāru+ina+muhhu,Sargon II,1
mahru+ina+pānu,Ashurbanipal,1
mahru+ina+pānu,Esarhaddon,1
mahāru+ina+libbu,Ashurbanipal,1
mahāru+ina+muhhu,Esarhaddon,1
mahāru+ina+muhhu,Esarhaddon or Ashurbanipal,1
mahāru+ina+pānu,Ashurbanipal,1
lawû+ana+muhhu,Ashurbanipal,1
lasāmu+ina+libbu,Sennacherib,1
lapnu+ina+libbu,Esarhaddon,1
kânu+ina+pānu,Tiglath-pileser III,1
karābu+ina+pānu,Tiglath-pileser III,1
karāru+ina+kišādu,Esarhaddon,1
karāru+ina+libbu,Sargon II,1
karāru+ina+libbu,Tiglath-pileser III,1
karāru+ina+muhhu,Sargon II,1
karāru+ina+pānu,Tiglath-pileser III,1
kašādu+ina+libbu,Esarhaddon or Ashurbanipal,1
kaṣāpu+itti+libbu,Ashurbanipal,1
kullumu+ina+libbu,Esarhaddon or Ashurbanipal,1
kuṣṣupu+ina+libbu,Ashurbanipal,1
kuṣṣupu+itti+libbu,Ashurbanipal,1
kânu+ina+libbu,Tiglath-pileser III,1
kânu+ina+muhhu,Esarhaddon,1
kânu+ina+pānu,Esarhaddon or Ashurbanipal,1
kânu+ina+pānu,Sargon II,1
ṭābu+ina+muhhu,Ashurbanipal,1
