tlemma+rlemma+slemma,ruler,count
šakānu+ina+qātu,Ashurbanipal,2
kullu+ina+qātu,Esarhaddon,2
qerēbu+ina+muhhu,Esarhaddon,2
kânu+ina+libbu,Sargon II,2
sahāru+ištu+pānu,Esarhaddon,2
haṭû+ina+libbu,Esarhaddon,2
erēbu+ina+muhhu,Esarhaddon,2
izuzzu+ina+muhhu,Sennacherib,2
šakānu+ana+šēpu,Sennacherib,2
wabālu+ina+qātu,Ashurbanipal,2
wabālu+ina+pānu,Ashurbanipal,2
hiāṭu+ina+libbu,Esarhaddon or Ashurbanipal,2
wabālu+ištu+libbu,Tiglath-pileser III,2
wadû+ina+libbu,Ashurbanipal,2
šakānu+ina+libbu,Ashurbanipal,2
erēbu+ana+pānu,Esarhaddon,2
redû+ina+muhhu,Ashurbanipal,2
wabālu+ina+muhhu,Ashurbanipal,2
izuzzu+ina+muhhu,Esarhaddon,2
wussû+ina+libbu,Esarhaddon,2
leqû+ištu+pānu,Sargon II,2
wabālu+ina+libbu,Esarhaddon,2
erēbu+ina+muhhu,Ashurbanipal,2
maqātu+ina+qātu,Tiglath-pileser III,2
yānu+ina+libbu,Sargon II,2
qerēbu+ina+muhhu,Tiglath-pileser III,2
šakānu+ina+libbu,Tiglath-pileser III,2
wabālu+ina+libbu,Ashurbanipal,2
wabālu+ana+pānu,Tiglath-pileser III,2
erēbu+ana+libbu,Esarhaddon,2
madādu+ina+muhhu,Tiglath-pileser III,2
etēqu+ina+pānu,Esarhaddon or Ashurbanipal,2
epēšu+ištu+rēšu,Ashurbanipal,2
elû+ana+pānu,Tiglath-pileser III,2
šaṭāru+ina+muhhu,Esarhaddon,2
qabû+ana+muhhu,Esarhaddon,2
našû+ina+muhhu,Sargon II,2
arādu+ana+pānu,Sennacherib,2
našû+ina+muhhu,Esarhaddon or Ashurbanipal,2
šaṭāru+ina+muhhu,Esarhaddon or Ashurbanipal,2
šakānu+ina+šēpu,Ashurbanipal,2
ašābu+ina+libbu,Ashurbanipal,2
ašābu+ina+libbu,Esarhaddon,2
šaṭāru+ina+libbu,Tiglath-pileser III,2
našû+ina+muhhu,Esarhaddon,2
ašābu+ina+muhhu,Esarhaddon or Ashurbanipal,2
našû+ana+muhhu,Ashurbanipal,2
šasû+ina+pānu,Esarhaddon or Ashurbanipal,2
šasû+ina+pānu,Ashurbanipal,2
qabû+ana+ahu,Sargon II,2
šapāru+ištu+rēšu,Ashurbanipal,2
amāru+ina+libbu,Sîn-šarru-iškun,2
pazāru+ištu+pānu,Esarhaddon,2
alāku+ištu+pānu,Sargon II,2
alāku+ina+libbu,Esarhaddon,2
palāhu+ištu+pānu,Esarhaddon,2
abāku+ina+muhhu,Esarhaddon,2
ṣabātu+ina+šēpu,Esarhaddon,2
ṣabātu+ina+qātu,Esarhaddon,2
ṣabātu+ina+libbu,Tiglath-pileser III,2
alāku+ana+šulmu,Esarhaddon or Ashurbanipal,2
šâṭu+ina+pānu,Sennacherib,2
šâlu+ana+muhhu,Esarhaddon,2
alāku+ina+pānu,Esarhaddon or Ashurbanipal,2
