term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
hamāṭu,L1086558,L1086558,,,verb,burn (up),G,,104,,,,,,,,,,,,,,
hammu,L1086559,L1086559,,,noun,family head,,,104,,,,,,,,,,,,,,
hammu,L1086560,L1086560,,,noun,pond,,,104,,,,,,,,,,,,,,
hamṭu,L1086561,L1086561,,,adj,quick,,,105,,,,,,,,,,,,,,
hanābu,L1086562,L1086562,,,verb,be(come) luxuriant,G,,105,,,,,,,,,,,,,,
hanāṣu,L1086563,L1086563,,,verb,bare teeth,G,,105,,,,,,,,,,,,,,
harāšu,L1086564,L1086564,,,verb,be in labor,G,,107,,,,,,,,,,,,,,
hargullu,L1086565,L1086565,,,noun,locking ring,,,108,,,,,,,,,,,,,,
Harran,L1086566,L1086566,,,pn,city in northwestern Mesopotamia,,,,,,,4;122,,,,,,,,,,
harrānu,L1086567,L1086567,,,noun,road;caravan;expedition,,,108,,,,,,,,KASKAL,,,,,,
harurtu,L1086568,L1086568,,,noun,throat,,,109,,,,,,,,,,,,,,
haṣānu,L1086569,L1086569,,,verb,embrace;protect,G,,110,,,,,,,,,,,,,,
hašāšu,L1086570,L1086570,,,verb,swell;be happy,G,,111,,,,,,,,,,,,,,
hašāšu,L1086571,L1086571,,,verb,gather,G,,111,,,,,,,,,,,,,,
hašhūru,L1086572,L1086572,,,noun,apple (tree),,,111,,,,,,,,,,,,,,
hašû,L1086573,L1086573,,,noun,lung(s),,,111,,,,,,,,MUR,,,,,,
haṭāmu,L1086574,L1086574,,,verb,block;muzzle,G,,112,,,,,,,,,,,,,,
hatānu,L1086575,L1086575,,,verb,protect,G,,112,,H 148,,,,,,,,,,,,
hatāpu,L1086576,L1086576,,,verb,slaughter,G,,112,,,,,,,,,,,,,,
haṭû,L1086577,L1086577,,,adj,faulty;criminal,,,112,,,,,,,,,,,,,,
haṭû,L1086578,L1086578,,,verb,do wrong; commit crime,G,,112,,,,,,,,,,,,,,
hazāmu,L1086579,L1086579,,,verb,mutilate,G,,113,,,,,,,,,,,,,,
hazannu,L1086580,L1086580,,,noun,mayor,,,113,,,,,,,,,,,,,,
hazmu,L1086581,L1086581,,,adj,with mutilated ear,,,113,,,,,,,,,,,,,,
herû,L1086582,L1086582,,,verb,dig,G,,114,,,,,,,,,,,,,,
hiāṭu,L1086583,L1086583,,,verb,examine;search out;supervise;weigh,G,,114,,,,,,,,,,,,,,
hilibû,L1086584,L1086584,,,noun,underworld,,,115,,,,,,,,HI.LI.BA,,,L709283,,,
himiltu,L1086585,L1086585,,,noun,plan,,,116,,,,,,,,,,,,,,
hubbulu,L1086586,L1086586,,,adj,indebted,,,118,,,,,,,,,,habullu,,,,
hubšu,L1086587,L1086587,,,noun,dust;flotsam,,,118,,,,,,,,,,,,,,
hubūru,L1086588,L1086588,,,noun,noise,,,118,,,,,,,,,,,,,,
huliam,L1086589,L1086589,,,noun,helmet,,,119,,,,,,,,,,,,,,
hurāṣu,L1086590,L1086590,,,noun,gold,,,121,,,,,,,,KU₃.GI,,,,,,
idu,L1086591,L1086591,,,noun,arm;side,,,125,,,,,,,,A₂,,,,,,
īdû,L1086592,L1086592,,,verb,know,G,,432,,,,,,,,ZU,,,,,,
igāru,L1086593,L1086593,,,noun,wall,,,125,,,,,,,,E₂.GAR₈;IZ.ZI,,,,,,
ikkaru,L1086594,L1086594,,,noun,farmer,,,126,,,,,,,inkaru,LU₂.ENGAR,,,,,,
ikkillu,L1086595,L1086595,,,noun,"lamentation,clamour",,,126,,,,,,,,AKKIL,,,,,,
illatu,L1086596,L1086596,,,noun,group;family clan,,,127,,,,,,,illitu;allatu,ILLAT,,ellutu,,,,
illurtu,L1086597,L1086597,,,noun,handcuffs,,,127,,,,,,,,,,,,,,
ilu,L1086598,L1086598,,,noun,god,,,127,,,,,,,,DINGIR,,,,,,
imbaru,L1086599,L1086599,,,noun,fog;fine drizzle,,,128,,,,,,,ibbaru,MURU₉,,,,,,
imēru,L1086600,L1086600,,,noun,donkey,,,128,,,,,,,imāru,ANŠE;DUR₃,,emāru,,,,
imittu,L1086601,L1086601,,,noun,right side,,,128,,,,,,,emittu,ZAG;A₂.ZI;A₂.ZI.DA;15,,,,,,
imittu,L1086602,L1086602,,,noun,support;imposition;shoulder of animal,,,128,,,,,,,emittu,UZU.ZAG;UZU.ZAG.LU,,,,,,
imtu,L1086603,L1086603,,,noun,poison,,,129,,,,,,,,,,,,,,
ina,L1086604,L1086604,,,prep,according to;against;among;around;at;behind;by means of;during;for;from;in consequence of;into;on;through;to;under;with,,,129,,,,,,,,AŠ,,,,,,
Inanna,L1086605,L1086605,,,pn,goddess of love and war,,,,,,,5;74,,143,Ištar,,,,,,,
Inšušinak,L1086606,L1086606,,,pn,Elamite god of Susa,,,,,,,5;117,,150,,,,,,,,
īnu,L1086607,L1086607,,,noun,eye;eye-stone;spring,,,130,,,,,,,,,,,,,,
irtu,L1086608,L1086608,,,noun,breast;edge;front;towards,,,131,,,,,,,iratu,GABA,,,,,,
išaru,L1086609,L1086609,,,adj,straight;correct;normal,,,132,,,,,,,išeru,SI.SA₂,,,,,,
išātu,L1086610,L1086610,,,noun,fire,,,133,,,,,,,,IZI,,,,,,
išdu,L1086611,L1086611,,,noun,base (a part of the liver);base;stump,,,133,,,,,,,,SUHUŠ;UR₂;DUR₂;DU,,,,,,
išparu,L1086612,L1086612,,,noun,weaver,,,134,,,,,,,ušparu,LU₂.UŠ.BAR,,,,,,
iṣṣu,L1086613,L1086613,,,noun,tree;wood,,,132,,,,,,,iṣu,GIŠ,,eṣṣu,,,,
iṣṣur hurri,L1086614,L1086614,,,noun,rock partridge(?),,,132,,,,,,,,BURU₅.HABRUD.DA,,,,,,
iṣṣuru,L1086615,L1086615,,,noun,bird,,,132,,,,,,,,MUŠEN,,,,,,
ištānu,L1086616,L1086616,,,noun,north,,,135,,,,,,,iltānu,IM.SI.SA₂,,,,,,
ištaru,L1086617,L1086617,,,noun,goddess,,,135,,,,,,,ištartu,DINGIR.INNIN,,,,,,
isu,L1086618,L1086618,,,noun,jaw,,,132,,,,,,,,UZU.ME.ZE₂.SI,,,,,,
ittu,L1086619,L1086619,,,noun,character;peculiarity;regularity,,,137,,,,,,,,A₂,,,,,,
ittu,L1086620,L1086620,,,noun,omen;sign,,,137,,,,,,,,ISKIM,,,,,,
itû,L1086621,L1086621,,,noun,"boundary,neighbor",,,137,,,,,,,,US₂.SA.DU,,,,,,
izbu,L1086622,L1086622,,,noun,anomaly;malformed birth,,,137,,,,,,,,,,,,,,
izuzzu,L1086623,L1086623,,,verb,go to assistance of;make stand;serve;set up;stand;step upon;stop;take up position,,,138,,,,,,,uzuzzu,GUB,,itussu,,,,
kabābu,L1086624,L1086624,,,verb,burn,G,,139,,,,,,,,,,,,,,
kabāsu,L1086625,L1086625,,,verb,tread;trample,G,,139,,,,,,,kabāšu (Am.),ZUKUM,,,,,,
kabāšu,L1086626,L1086626,,,verb,put headgear on,G,,139,,,,,,,,,,,,,,
kabattu,L1086627,L1086627,,,noun,liver;mind;mood,,,139,,,,,,,,,,,,,,
kabātu,L1086628,L1086628,,,verb,honour,G,,139,,,,,,,,DUGUD,,,,,,
kabbaru,L1086629,L1086629,,,adj,very thick,,,140,,,,,,,,GUR₄.GUR₄,,,,,,
kabbu,L1086630,L1086630,,,adj,glowing,,,140,,,,,,,,,,,,,,
kabtu,L1086631,L1086631,,,adj,heavy;honored,,,140,,,,,,,,DUGUD;IDIM,,,,,,
kadrû,L1086632,L1086632,,,noun,gift,,,141,,,,,,,,,,,,,,
kakkišu,L1086633,L1086633,,,noun,weasel,,,141,,,,,,,,,,,,,,
kakku,L1086634,L1086634,,,noun,weapon-mark;weapon,,,141,,,,,,,,GIŠ.TUKUL,,,,,,
kallâmāri,L1086635,L1086635,,,adv,in the early morning,,,142,,,,,,,,,,,,,,
kalû,L1086636,L1086636,,,adj,detained,,,143,,,,,,,,,,,,,,
kalû,L1086637,L1086637,,,verb,arrest;hinder;hold back,G,,143,,,,,,,,GUL,,,,,,
kalû,L1086638,L1086638,,,noun,lamentation-priest,,,143,,,,,,,,LU₂.GALA,,,,,,
kalû,L1086639,L1086639,,,det,all;totality;whole,,,143,,,,,,,,DU₃;DU₃.A.BI,,,,,,
kalūmu,L1086640,L1086640,,,noun,lamb,,,143,,,,,,,,UDU.SILA₄,,,,,,
kalûtu,L1086642,L1086642,,,noun,discipline of lamentation;textual corpus of lamentation-priests,,,143,,,,,,,,,,,,,,
kamāsu,L1086643,L1086643,,,verb,collect;gather,,,144,I,,,,,,,,,,,,,
kamāsu,L1086644,L1086644,,,verb,kneel down;kneel;make bow down;make to crouch,G,,144,II,,,,,,,GAM,,,,,,
kamû,L1086645,L1086645,,,verb,bind,G,,145,,,,,,,,LAL,,,,,,
kamû,L1086646,L1086646,,,adj,vanquished,,,144,,,,,,,,,,,,,,
kamû,L1086647,L1086647,,,adj,outer,,,145,,,,,,,kawû,AN.AŠ.A.AN;AŠ.A.AN;BAR;BAR.RA,,,,,,
kandu,L1086648,L1086648,,,noun,jar,,,145,,,,,,,,,,,,yes,,
kapālu,L1086649,L1086649,,,verb,roll up,G,,147,,,,,,,,,,,,,,
kapāru,L1086650,L1086650,,,verb,smear,G,,147,,,,,,,,,,,,,,
kapāru,L1086651,L1086651,,,verb,wipe,G,,147,,,,,,,,,,,,,,
kapāru,L1086652,L1086652,,,verb,peel,G,,147,,,,,,,,,,,,,,
kapāṣu,L1086653,L1086653,,,verb,bend back;distort,G,,147,II,,,,,,,,,,,,,
kappu,L1086654,L1086654,,,noun,wing,,,147,,,,,,,,PA,,,,,,
kappu,L1086656,L1086656,,,noun,hand;palm,,,147,,,,,,,,A₂,,,,,,
karābu,L1086657,L1086657,,,verb,pray;bless;greet,G,,148,,,,,,,,ŠUD₃,,,,,,
karāru,L1086658,L1086658,,,verb,set down;discard,G,,148,,,,,,,,,,,,,,
karāṣu,L1086659,L1086659,,,verb,break off;pinch off,G,,148,,,,,,,garāṣu;harāṣu,,,,,,,
karātu,L1086660,L1086660,,,verb,cut off,G,,149,,,,,,,,KID₂,,,,,,
karšu,L1086661,L1086661,,,noun,centre;mind;stomach,,,149,,,,,,,,,,,,,,
karṣu,L1086662,L1086662,,,noun,slander,,,149,,,,,,,,EME.SIG,,,,,,
kartu,L1086663,L1086663,,,adj,shredded,,,149,,,,,,,,,,,,,,
karû,L1086664,L1086664,,,verb,be(come) short;diminish,,,150,,,,,,,,LUGUD₂,,,,,,
kašādu,L1086665,L1086665,,,verb,achieve;arrive;conquer,G,,152,,,,,,,,KUR,,,,,,
kasāmu,L1086666,L1086666,,,verb,chop,G,,150,,,,,,,,GAZ,,,,,,
kasāpu,L1086667,L1086667,,,verb,break (into bits);cut,G,,150,,,,,,,,,,,,,,
kasāpu,L1086668,L1086668,,,verb,make funerary offering,G,,150,,,,,,,,,,,,,,
kašāpu,L1086669,L1086669,,,verb,cast spells,G,,152,,,,,,,,,,,,,,
kaṣāru,L1086670,L1086670,,,verb,tie;gather,G,,151,,,,,,,,KEŠDA;KAD₂;KAD₃,,,,,,
kaṣāṣu,L1086671,L1086671,,,verb,grind;grate,G,,151,,,,,,,,KA.GUZ,,,,,,
kašdu,L1086672,L1086672,,,adj,achieved;arrived;conquered,,,152,,,,,,,,KUR,,,,,,
kasmu,L1086673,L1086673,,,adj,chopped,,,150,,,,,,,,,,,,,,
kaspu,L1086674,L1086674,,,noun,money;silver,,,150,,,,,,,,KU₃.BABBAR,,,,,,
kaṣru,L1086675,L1086675,,,adj,firmly joined;solid,,,151,,,,,,,,,,,,,,
kasû,L1086676,L1086676,,,verb,bind,G,,150,,,,,,,,,,,,,,
kasû,L1086677,L1086677,,,noun,(a spice plant),,,150,,,,,,,,,,,,,,
kaṣû,L1086678,L1086678,,,verb,cool down,G,,151,,,,,,,,ŠED₇,,,,,,
kaṣû,L1086679,L1086679,,,adj,cold,,,151,,,,,,,,ŠED₇,,,,,,
kâṣu,L1086680,L1086680,,,verb,flay,G,,152,,,,,,,,,,,,,,
kāsu,L1086681,L1086681,,,noun,cup,,,151,,,,,,,,GAL,,,,,,
katāmu,L1086682,L1086682,,,verb,cover,G,,153,,,,,,,,DUL,,,,,,
katāru,L1086683,L1086683,,,verb,get help,G,,153,,,,,,,,,,,,,,
katāru,L1086684,L1086684,,,verb,hesitate;wait,G,,153,,,,,,,,,,,,yes,,
kātimtu,L1086685,L1086685,,,noun,net for birds;a kind of door,,,153,,,,,,,,,,,,,,
katmu,L1086686,L1086686,,,adj,covered,,,153,,,,,,,,,,,,,,
kerṣu,L1086687,L1086687,,,noun,pinced-off piece;lump,,,155,,,,,,,gerṣu,,,,,,,
kiāšu,L1086688,L1086688,,,verb,help,G,,155,,,,,,,,,,,,,,
kibrat erbetti,L1086689,L1086689,,,noun,four edges of the world,,,156,,,,,,,,UB.DA.LIMMU₂.DA,,,,,,
kibru,L1086690,L1086690,,,noun,bank;shore,,,156,,,,,,,,PIŠ₁₀,,,,,,
kigallu,L1086691,L1086691,,,noun,pedestal;socle,,,156,,,,,,,,KI.GAL,,,,,,
kilīlu,L1086692,L1086692,,,noun,wreath,,,157,,,,,,,,GILIM,,,,,,
kīlu,L1086693,L1086693,,,noun,captivity;prison,,,157,,,,,,,,KI.ŠU₂,,,,,,
kilūbu,L1086694,L1086694,,,noun,cage;trap,,,157,,,,,,,,,,,,,yes,
kimtu,L1086695,L1086695,,,noun,family,,,158,,,,,,,kintu,IM.RI.A,,,,,,
kindabašše,L1086696,L1086696,,,noun,loincloth,,,158,,,,,,,kindabasse,,,,,,,
kīnu,L1086697,L1086697,,,adj,permanent;firm;true,,,159,,,,,,,kēnu,GIN;GI.NA,,,,,,
kippatu,L1086698,L1086698,,,noun,circle;circumference;perimeter,,,159,,,,,,,,GAM,,,,,,
kirinnu,L1086699,L1086699,,,noun,clay lump,,,160,,,,,,,,,,,yes,,,
kirû,L1086700,L1086700,,,noun,plantation;orchard,,,160,,,,,,,,GIŠ.KIRI₆,,,L751517,,,
kišādu,L1086701,L1086701,,,noun,neck;necklace,,,161,,,,,,,,UZU.GU₂,,,,,,
kisallu,L1086702,L1086702,,,noun,courtyard,,,160,,,,,,,,KISAL,,,L701614,,,
kisittu,L1086703,L1086703,,,noun,branch;stem,,,161,,,,,,,,,,,,,,
kispu,L1086704,L1086704,,,noun,funerary offering,,,161,,,,,,,,KI.SI₃.GA,,,,,,
kiṣru,L1086705,L1086705,,,noun,knot;concentration;group;rental,,,161,,,,,,,,KEŠDA;KA.KEŠDA;I₃.KEŠDA,,,,,,
kiššatu,L1086706,L1086706,,,noun,totality;world,,,162,,,,,,,,ŠU₂;ŠAR₂;KIŠ;KI.ŠAR₂.RA,,,,,,
kiṣṣu,L1086707,L1086707,,,noun,shrine,,,161,,,,,,,,ITIMA,,,,,,
kišukku,L1086708,L1086708,,,noun,grate,,,161,,,,,,,,,,,,,,
kitû,L1086709,L1086709,,,noun,flax;linen;linen garment,,,163,,,,,,,,TUG₂.GADA,,,,,,
kubšu,L1086710,L1086710,,,noun,headcloth;turban,,,164,,,,,,,,TUG₂.SAGŠU,,,,,,
kullulu,L1086711,L1086711,,,verb,veil;crown,D,,166,,,,,,,,,,,,,,
kullulu,L1086712,L1086712,,,adj,veiled;crowned,,,166,,,,,,,,,,,,,,
kunukku,L1086713,L1086713,,,noun,seal;sealed tablet;vertebra,,,167,,,,,,,,KIŠIB,,,,,,
kurrû,L1086714,L1086714,,,adj,short,,,169,,,,,,,,,,,,,,
kursimtu,L1086715,L1086715,,,noun,scale;plate,,,169,,,,,,,kurṣimtu;kursittu,,,,,,,
kursinnu,L1086716,L1086716,,,noun,kursinnu,,,169,,,,,,,,,,,,,,
kurṣiptu,L1086717,L1086717,,,noun,butterfly,,,169,,,,,,,,,,,,,,
kurummutu,L1086718,L1086718,,,noun,rations,,,169,,,,,,,kurmatu,ŠUK;ŠUK.HI.A,,,,,,
kussû,L1086719,L1086719,,,noun,chair;sedan chair;throne,,,170,,,,,,,,GIŠ.GU.ZA;GIŠ.AŠ.TE,,,,,,
kuššudu,L1086720,L1086720,,,adj,chased (off),,,171,,,,,,,,,,,,,,
kūṣu,L1086721,L1086721,,,noun,cold;winter,,,170,,,,,,,,EN.TE.NA,,,,,,
labābu,L1086722,L1086722,,,verb,rage,G,,,,B 7,,,,,,,,,,,,
labānu,L1086723,L1086723,,,verb,stroke;mold bricks,G,,174,,,,,,,,,,,,,,
labāšu,L1086724,L1086724,,,verb,clothe oneself,G,,174,,,,,,,,,,,,,,
labbu,L1086725,L1086725,,,noun,lion,,,,,B 24,,,,,,,,,,,,
labbu,L1086726,L1086726,,,adj,raging,,,,,B 24,,,,,,,,,,,,
lagā'u,L1086727,L1086727,,,noun,scale;dirt;scum,,,175,,,,,,,,,,,,,,
lagabbu,L1086728,L1086728,,,noun,lump;clot,,,175,,,,,,,,,,,,,,
lalā'u,L1086729,L1086729,,,noun,young goat,,,176,,,,,,,laliu;lalû,,,,,,,
lamassu,L1086730,L1086730,,,noun,(female) tutelary deity,,,177,,,,,,,,DINGIR.LAMMA,,,,,,
lamaštu,L1086731,L1086731,,,noun,a demoness attacking new-borns,,,177,,,,,,,,DINGIR.DIM₃.ME,,,,,,
lānu,L1086732,L1086732,,,noun,body;figure;trunk,,,177,,,,,,,,ALAN,,,,,,
lapātu,L1086733,L1086733,,,verb,touch;affect;ruin,G,,177,,,,,,,,TAG,,,,,,
laptu,L1086734,L1086734,,,adj,touched;affected;ruined,,,177,,,,,,,,TAG,,,,,,
laqātu,L1086735,L1086735,,,verb,gather up;glean,G,,177,,,,,,,,,,,,,,
lardu,L1086736,L1086736,,,noun,a type of grass,,,178,,,,,,,,U₂.KI.KAL.HI.RI.IN,,,,,,
lawû,L1086737,L1086737,,,verb,surround;besiege,G,,179,,,,,,,,NIGIN,,,,,,
lawû,L1086738,L1086738,,,adj,besieged;surrounding,,,179,,,,,,,,,,,,,,
lemnu,L1086739,L1086739,,,adj,bad,,,180,,,,,,,,HUL,,,,,,
leqû,L1086740,L1086740,,,verb,take,G,,180,,,,,,,,ŠU.TI;TI;ŠU.BA.AN,,,,,,
leqû,L1086741,L1086741,,,adj,acquired;adopted,,,180,,,,,,,,,,,,,,
lētu,L1086742,L1086742,,,noun,cheek;side,,,180,,,,,,,,TE,,,,,,
libbu,L1086743,L1086743,,,noun,heart;inner body,,,181,,,,,,,,ŠA₃,,,,,,
libittu,L1086744,L1086744,,,noun,mudbrick,,,181,,,,,,,,SIG₄,,,,,,
līpu,L1086746,L1086746,,,noun,descendant,,,183,,,,,,,lēpu,NUNUZ,,,,,,
lišānu,L1086747,L1086747,,,noun,tongue;language,,,183,,,,,,,,EME,,,,,,
lu''û,L1086748,L1086748,,,verb,make dirty,D,,186,,,,,,,,,,,,,,
lubāru,L1086749,L1086749,,,noun,garment,,,184,,,,,,,,TUG₂.HI.A,,,,,,
lubuštu,L1086750,L1086750,,,noun,clothes,,,184,,,,,,,,SIKI.BA;TUG₂.HI.A,,,,,,
lumāšu,L1086751,L1086751,,,noun,constellation,,,185,,,,,,,,,,,,,,
madādu,L1086752,L1086752,,,verb,measure,G,,187,I,,,,,,,AGA₂,,,,,,
magāgu,L1086753,L1086753,,,verb,have cramps;stick out,G,,188,,,,,,,,,,,,,,
magarru,L1086754,L1086754,,,noun,chariot;wheel,,,188,,,,,,,,GIŠ.UMBIN,,,,,,
mahāru,L1086755,L1086755,,,verb,face;confront;receive,,,189,,,,,,,,IGI,,,,,,
mahāṣu,L1086756,L1086756,,,verb,beat;weave,G,,190,,,,,,,,SIG₃;RA,,,,,,
māhāzu,L1086757,L1086757,,,noun,cult centre,G,,190,,,,,,,,KI.ŠU.PEŠ₅,,,,,,
mahhû,L1086758,L1086758,,,noun,ecstatic prophet,,,190,,,,,,,muhhû,LU₂.GUB.BA,,,,,,
mahru,L1086759,L1086759,,,noun,front;past,,,191,,,,,,,,IGI,,,,,,
mahru,L1086760,L1086760,,,adj,acceptable;received;withstood,,,191,,,,,,,,IGI,,,,,,
mahrû,L1086761,L1086761,,,adj,former;older,,,191,,,,,,,,IGI,,,,,,
mahṣu,L1086762,L1086762,,,adj,beaten;smitten,,,191,,,,,,,,,,,,,,
mahû,L1086763,L1086763,,,verb,rave,,,191,,,,,,,,,,,,,,
mākālu,L1086764,L1086764,,,noun,food;meal,,,191,,,,,,,,,,,,,,
makāsu,L1086765,L1086765,,,verb,levy customs or rental dues,G,,191,,,,,,,,,,,,,,
makāṣu,L1086766,L1086766,,,noun,slaughtering block,,,191,,,,,,,,,,,,,,
maksû,L1086767,L1086767,,,noun,fetters;bandage,,,192,,,,,,,,,,,,,,
malahhu,L1086768,L1086768,,,noun,sailor,,,192,,,,,,,malāhu,LU₂.MA₂.LAH₄;LU₂.MA₂.LAH₅,,,,,,
malīlu,L1086769,L1086769,,,noun,flute,,,193,,,,,,,,GI.GID₂,,,,,,
mamītu,L1086770,L1086770,,,noun,oath;curse,,,194,,,,,,,,NAM.ERIM₂,,,,,,
maqātu,L1086771,L1086771,,,verb,fall,G,,196,,,,,,,,ŠUB,,,,,,
maqlû,L1086772,L1086772,,,noun,burning,,,196,,,,,,,,,,,,,,
Maqlû,L1086773,L1086773,,,noun,anti-witchcraft composition,,,196,,,,,,,,,,,,,,
marāqu,L1086774,L1086774,,,verb,rub smooth;grind,G,,197,,,,,,,,,,,,,,
marāṣu,L1086775,L1086775,,,verb,be ill;be difficult,G,,197,,,,,,,,GIG,,,,,,
Marduk,L1086776,L1086776,,,pn,god of Babylon,,,,,,,7;360,,201,,,,,,,,
markasu,L1086777,L1086777,,,noun,bond;moorings;rope,,,198,,,,,,,,DUR,,,,,,
marru,L1086778,L1086778,,,adj,bitter,,,198,,,,,,,,SES,,,,,,
marru,L1086779,L1086779,,,noun,shovel,,,198,,,,,,,,GIŠ.MAR;URUDU.MAR,,,,,,
marṣu,L1086780,L1086780,,,adj,ill;difficult,,,198,,,,,,,,,,,,,,
mārtu,L1086781,L1086781,,,noun,daughter;girl,,,198,,,,,,,,DUMU.MUNUS,,,,,,
māru,L1086782,L1086782,,,noun,son;descendant,,,199,,,,,,,,DUMU,,,,,,
maṣallu,L1086783,L1086783,,,noun,shelter;sleeping place,,,200,,,,,,,,,,,,,,
mašāšu,L1086784,L1086784,,,verb,wipe off,,,201,,,,,,,,,,,,,,
mašennu,L1086785,L1086785,,,noun,treasurer,,,201,,,,,,,,LU₂.AGRIG,,,,,,
maṣhatu,L1086786,L1086786,,,noun,a kind of flour,,,200,,,,,,,,ZI₃.MA.AD.GA;ZI₃.MAD.AD.GA,,,,,,
mašku,L1086787,L1086787,,,noun,hide;leather;skin,,,202,,,,,,,,KUŠ,,,,,,
mašmaššu,L1086788,L1086788,,,noun,incantation priest,,,202,,,,,,,,LU₂.MAŠ.MAŠ,,,,,,
mašqaltu,L1086789,L1086789,,,noun,scales;payment,,,203,,,,,,,,,,,,,,
maṣṣartu,L1086790,L1086790,,,noun,garrison;guard;observation;watch,,,200,,,,,,,,EN.NUN,,,,,,
mašû,L1086791,L1086791,,,adj,forgotten,,,203,,,,,,,,,,,,,,
māt Aššur,L1086792,L1086792,,,noun,land of Assyria,,,,,M1 417,,,,,,,,,,,,
matqu,L1086793,L1086793,,,adj,sweet,,,204,,,,,,,,KU₇.KU₇,,,,,,
mâtu,L1086794,L1086794,,,verb,die,G,,204,,,,,,,,UŠ₂,,,,,,
mātu,L1086795,L1086795,,,noun,area;land,,,204,,,,,,,,KUR,,,,,,
mazû,L1086796,L1086796,,,adj,squeezed,,,205,,,,,,,,KAŠ.SUR.RA,,,,,,
melammu,L1086797,L1086797,,,noun,awesome radiance,,,207,,,,,,,,ME.LAM,,,,,,
mešrēti,L1086798,L1086798,,,noun,limbs,,,209,,,,,,,,A₂.UR₂,,,,,,
mesû,L1086799,L1086799,,,verb,wash,G,,208,,,,,,,masû,LUH,,masā'u,,,,
mesû,L1086800,L1086800,,,adj,washed;pure,,,208,,,,,,,,,,,,,,
mihiṣtu,L1086801,L1086801,,,noun,blow;cuneiform sign,,,210,,,,,,,,,,,,,,
mīlu,L1086802,L1086802,,,noun,flood,,,210,,,,,,,,ILLU,,,,,,
minûtu,L1086803,L1086803,,,noun,counting;physique,,m n ',211,,,,,,,,ŠITI,,,,,,
mīrānu,L1086804,L1086804,,,noun,puppy,,,211,,,,,,,mērānu,,,,,,,
misarru,L1086805,L1086805,,,noun,"belt,band",,,211,,,,,,,,KUŠ.E.IB₂,,,,,,
miṭirtu,L1086806,L1086806,,,noun,watercourse,,,213,,,,,,,miṭru;miṭratu,,,,,,,
miṭṭu,L1086807,L1086807,,,noun,divine weapon,,,213,,,,,,,,GIŠ.TUKUL.DINGIR,,,,,,
mītu,L1086808,L1086808,,,adj,dead,,,213,,,,,,,,UŠ₂,,,,,,
mû,L1086809,L1086809,,,noun,watercourse,,,213,,,,,,,,A;A.MEŠ,,,,,,
muhhu,L1086810,L1086810,,,noun,about;brain;concerning;for;in charge of;in;on;over;skull;to;top,,,215,,,,,,,,UGU,,,,,,
mukanzibtu,L1086811,L1086811,,,noun,water clock,,,215,,,,,,,,,,,,,,
mukru,L1086812,L1086812,,,noun,loincloth,,,216,,,,,,,,,,,,,,
muma''iru,L1086813,L1086813,,,noun,commander,,,216,,,,,,,,LU₂.GAL.UKKIN,,,,,,
mungu,L1086814,L1086814,,,noun,cramp,,,217,,,,,,,muggu,,,,,,,
muraššû,L1086815,L1086815,,,noun,one who does wrong;quarreler;a wildcat,,,218,,,,,,,,,,,,,,
mūru,L1086816,L1086816,,,noun,calf;young foal,,,219,,,,,,,,DUR₃,,,,,,
mušarû,L1086817,L1086817,,,noun,inscription,,,221,,,,,,,musarû;mušarrû,MU.SAR,,,,,,
mušhuššu,L1086818,L1086818,,,noun,serpent-dragon,,,222,,,,,,,,MUŠ.HUŠ,,,,,,
mūšu,L1086819,L1086819,,,noun,night,,,224,,,,,,,,GE₆,,,,,,
nabalkutu,L1086820,L1086820,,,verb,cross over;revolt;oppose,N,,227,,,,,,,,BALA,,,,,,
nabalkutu,L1086821,L1086821,,,adj,overturned;rebellious;turned upside down,,,227,,,,,,,,,,,,,,
nabāṭu,L1086822,L1086822,,,verb,be bright;shine,G,,228,,,,,,,,,,,,,,
nabnītu,L1086823,L1086823,,,noun,creation,,,228,,,,,,,,,,,,,,
nabṭû,L1086824,L1086824,,,noun,horizon,,,228,,,,,,,,,,,,,,
nabû,L1086825,L1086825,,,adj,called;named,,,228,,,,,,,,,,,,,,
nabû,L1086826,L1086826,,,verb,appoint;call;name,G,,228,,,,,,,,SA₄,,,,,,
nadānu,L1086827,L1086827,,,verb,give,G,,229,,,,,,,,SUM,,,,,,
nadû,L1086832,L1086832,,,adj,abandoned;set down;,,,230,,,,,,,,ŠUB,,,,,,
nadû,L1086833,L1086833,,,verb,throw down;lay down,G,,230,,,,,,,,ŠUB,,,,,,
naharmuṭu,L1086834,L1086834,,,verb,dissolve;melt,N,,231,,,,,,,,,,,,,,
nahīru,L1086835,L1086835,,,noun,nostril,,,232,,,,,,,,KA.BUN₂,,,,,,
nahlaptu,L1086836,L1086836,,,noun,garment;cloak;coat,,,232,,,,,,,,TUG₂.GU₂.E₃.A,,,,,,
nâhu,L1086837,L1086837,,,verb,rest,G,,232,,,,,,,,HUN.GA₂,,,,,,
nakādu,L1086838,L1086838,,,verb,beat;throb,G,,233,,,,,,,,,,,,,,
