rubātu,noun,L744696
ishu,noun,L744728
qēmu,noun,L744886
damu,noun,L744906
madādu,verb,L1086752
tulû,noun,L748799
epqēnu,noun,L748865
abarakku,noun,L748870
ammatu,noun,L748872
assammu,noun,L748875
anzillu,noun,L748877
argabu,noun,L748882
raqqu,noun,L748886
kuṣṣû,verb,L1093590
sūqu,noun,L749227
ezizzu,noun,L749234
harbu,noun,L749249
kalītu,noun,L749581
tittu,noun,L749815
pisannu,noun,L749817
nurmû,noun,L749974
lallartu,noun,L749977
irdu,noun,L750229
gisappu,noun,L750241
akû,noun,L745318
handû,noun,L908480
arasu,noun,L908484
kabzuzû,noun,L908486
natbaktu,noun,L908487
takaltu,noun,L913065
išpatu,noun,L917006
arsānu,noun,L917667
puhpuhhu,noun,L918200
irkala,noun,L940548
halhallu,noun,L940552
erešu,noun,L940643
āšipu,noun,L1086324
rākibu,noun,L940651
daššu,noun,L940695
durummu,noun,L941120
egubbû,noun,L941136
šuruppû,noun,L941982
ašrinnu,noun,L941985
šulhû,noun,L942005
pitqu,noun,L997079
kittu,noun,L997161
itinnu,noun,L997485
išhilṣu,noun,L997494
sippu,noun,L998568
awilum,noun,L70598
puhādu,noun,L1086964
libbu,noun,L1086743
itqūru,noun,L744199
pagru,noun,L1086902
šurpītu,noun,L744515
errēšum,noun,L744521
isinnu,noun,L941134
eqlu,noun,L1086475
bēlu,noun,L1086358
ušmû,noun,L744649
ardu,noun,L744650
kurû,noun,L744653
ippīru,noun,L744703
tapatu,noun,L745350
ṣalmu,adjective,L1087098
kurummatu,noun,L746133
lahru,noun,L746137
tāhāzu,noun,L746145
ugāru,noun,L748867
laqlaqqu,noun,L748878
šappu,noun,L940650
iškaru,noun,L940665
huppû,noun,L940676
paršu,noun,L940684
tilimdû,noun,L940691
šahītu,noun,L940701
miṭṭu,noun,L1086807
parīsu,noun,L1086923
muddulu,noun,L941489
aškuttu,noun,L941990
gigunû,noun,L942062
šību,noun,L942314
timbutu,noun,L942764
dunnu,noun,L943216
qaqqaru,noun,L958393
ašlukkatu,noun,L991923
qiāšu,verb,L1086999
barbaru,noun,L996238
ulāpu,noun,L997074
iškarissu,noun,L997106
zammertu,noun,L998505
zinbuharu,noun,L998654
rīmu,noun,L1087053
asu,noun,L744193
ṣibittu,noun,L744514
irītu,noun,L744523
nammaštû,noun,L1086846
tārītu,noun,L744594
andurāru,noun,L1086307
ūsu,noun,L744890
antu,noun,L744903
nappāhu,noun,L744182
imēru,noun,L1086600
arratu,noun,L744191
ašlāku,noun,L744194
bappiru,noun,L744197
tupšikku,noun,L744203
rādu,noun,L746151
esru,noun,L744525
nappilu,noun,L744538
tamkāru,noun,L744675
nišu,noun,L744926
appāru,noun,L744935
dakkannu,noun,L745352
dabû,noun,L745368
patarru,noun,L746112
rišûtu,noun,L748759
giššu,noun,L748808
asakku,noun,L748884
enkummu,noun,L748908
haṭṭu,noun,L748965
anantu,noun,L749592
utullu,noun,L749840
lahtanu,noun,L749971
kīru,noun,L750240
imbû,noun,L1010983
namdalu,noun,L908082
bīnu,noun,L908442
pursû,noun,L908447
ṣapšu,noun,L908475
qardu,noun,L919381
hattu,noun,L940519
harûbu,noun,L940522
nakamtu,noun,L749968
apkisu,noun,L764554
barīrātu,noun,L910165
kurmittu,noun,L912962
urbatu,noun,L913066
rēdû,noun,L916075
urinnu,noun,L940502
kiturru,noun,L940550
kūbu,noun,L940554
mušēniqtu,noun,L940654
