term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
bēlu,L1086358,,,noun,"lord,proprietor",42,,,,,,EN,,,,,
bēru,L1086359,,,noun,"double hour, league",43,,,,,,DANNA,,,,,
bibbulu,L1086360,,,noun,"flood,day of the disappearance of the moon",43,,,,,,,,,,,
biltu,L1086361,,,noun,"load,talent,yield,rent,tribute",44,,,,,,GU₂;GUN,,,,,
binītu,L1086362,,,noun,"creation,shape",44,,,,,,,,,,,
birbirrū,L1086363,,,noun,"radiance,sparkle",45,,,,,,,,,,,
birītu,L1086364,,,noun,"space between,distance",45,,,,,,DAL.BA.AN.NA,,,,,
birku,L1086365,,,noun,"knee,lap",45,,,,,,,,,,,
birqu,L1086366,,,noun,lightning,43,,,,,berqu,NIM.GIR₂,,,,,
birtu,L1086367,,,noun,fortress,45,,,,,bištu,URU.HAL.SU,,,,,
bītu,L1086368,,,noun,house,46,,,,,,E₂,,bētu,,,
bu''û,L1086369,,,verb,to look for,51,,,,,,,,,,,
bubūtu,L1086370,,,noun,"hunger,starvation",47,,,,,,ŠA₃.GAR;SU.GU₇,,,,,
būlu,L1086371,,,noun,"animals,livestock",49,,,,,,MAŠ₂.ANŠE,,,,,
būrtu,L1086372,,,noun,cow,49,,,,,,,,,,,
būrtu,L1086373,,,noun,"cistern,well",49,,,,,,PU₂,,,,,
būrtu,L1086374,,,noun,cow,49,,,,,,,,,,,
būru,L1086375,,,noun,"proof,attestation",49,,,,,,,,,,,
būṣu,L1086376,,,noun,hyaena,50,,,,,,,,,,,
būṣu,L1086377,,,noun,rock partridge,50,,,,,,,,,,,
da'īmu,L1086378,,,noun,lance,53,,,,,,,,,,,
dabābu,L1086379,,,verb,to talk,52,,,,,,DU₁₁.DU₁₁,,,,,
daddu,L1086380,,,noun,sole of shoe,53,,,,,,,,,,,
dadmû,L1086381,,,noun,"the inhabited world,villages,settlements",53,,,,,,,,,,,
dādu,L1086382,,,noun,"darling,favorite",53,,,,,daddu,,,,,,
dagālu,L1086383,,,verb,"to see,to look",53,,,,,,,,,,,
dakāku,L1086384,,,verb,to crush,53,,,,,,,,,,,
dakāku,L1086385,,,verb,"to scamper,to gambol",53,,,,,,,,,,,
dakāšu,L1086386,,,verb,to press in,53,,,,,,,,,,,
dâku,L1086387,,,verb,"to kill,to beat",53,,,,,,GAZ,,,,,
dalālu,L1086388,,,verb,"to be small,to be wretched",54,,,,,,,,,,,
dalālu,L1086389,,,verb,to praise,54,,,,,,,,,,,
daltu,L1086390,,,noun,door,54,,,,,,GIŠ.IG;GI.IG,,,,,
dalû,L1086391,,,noun,bucket,54,,,,,,,,,,,
dalû,L1086392,,,verb,to draw water,54,,,,,,BAL,,,,,
dalû,L1086393,,,noun,"needle,pin",54,,,,,,,,,yes,,
damāmu,L1086394,,,verb,"to wail,to moan",54,,,,,,,,,,,
damiqtu,L1086395,,,noun,good fortune,55,,,,,,MUNUS.SIG₅,,,,,
damqu,L1086396,,,adj,good,55,,,,,,SIG₅,,,,,
dāmu,L1086397,,,noun,blood,55,,,,,,UŠ₂,,,,,
danānu,L1086398,,,noun,force;strength,55,,,,,,,,,,,
dannatu,L1086399,,,noun,hardship;stronghold,56,,,,,,,,,,,
dannu,L1086400,,,adj,strong;difficult;full-grown;heavy,56,,,,,,,,,,,
dapānu,L1086120,,,verb,to bear down on violently,56,,,,,,,,,,,
dašpu,L1086122,,,adj,sweet,57,,,,,,,,,,,
dayyānu,L1086401,,,noun,judge,58,,,,,,,,,,,
di'u,L1086402,,,noun,an illness affecting the head,61,,,,,,,,,,,
diāšu,L1086403,,,verb,to tread down,59,,,,,,,,,,,
dimtu,L908479,,,noun,tower,60,,,,,,AN.ZA.GAR₃,,,,,
dīnu,L1086092,,,noun,legal decision;trial,60,,,,,,DI;DI.KUD,,,,,
dipāru,L1086404,,,noun,lantern;torch,60,,,,,,,,,,,
dīšu,L1086405,,,noun,spring grass;spring,61,D 163,,,,,,,,,,
dullu,L1086406,,,noun,ritual;treatment;trouble;work,61,,,,,,,,,,,
dummuqu,L1086407,,,adj,elite (soldier);made beautiful;very good,62,,,,,,,,,,,
Dumuzi,L1086408,,,pn,a divine shepherd,,,2;239,,75,,,,,,,
Duranki,,x,,pn,name of Enlil,,,2;242,,79,,,,,,,
dūru,L1086409,,,noun,(city) wall;fortification wall;fortress,62,,,,,,,,,,,
dūru,L1086410,,,noun,(validity) period;eternity,62,,,,,,,,,,,
e'iltu,L1086411,,,noun,bond;obligation,67,,,,,,,,,,,
Ea,L1086093,,,pn,god of the sweetwater (abzu),,,2;374,,,,DINGIR.EN.KI,,,,,
ebbu,L1086412,,,adj,clean (garment);clear;pure,64,,,,,,,,,,,
ebēbu,L1086413,,,verb,purify,64,,,,,,,,,,,
ebēhu,L1086414,,,verb,gird,64,,,,,,,,,,,
ebēru,L1086415,,,verb,cross over,64,,,,,,BALA,,,,,
eblu,L1086416,,,noun,rope,65,,,,,,,,,,,
ebūru,L1086417,,,noun,harvest,65,,,,,,,,,,,
ēkallu,L1086418,,,noun,palace (personnel);palace,67,,,,,,,,,,,
ekēlu,L1086419,,,verb,be(come) dark;darken,67,,,,,,,,,,,
ekletu,L1086420,,,noun,darkness,68,,,,,,,,,,,
eklu,L1086421,,,adj,dark (thing);dark,68,,,,,,,,,,,
elamû,L1086422,,,adj,Elamite,68,,,,,,,,,,,
elēlu,L1086423,,,verb,be(come) pure;cleanse oneself;clear;purify,69,,,,,,,,,,,
elēnu,L1086424,,,adv,above;above;in addition to;upstream;upward,69,,,,,,,,,,,
eleppu,L1086425,,,noun,boat;ship,69,,,,,,,,,,,
ellu,L1086426,,,adj,clean (person);clean;holy;pure,70,,,,,,,,,,,
elû,L1086427,,,verb,arise;be(come) exalted;be(come) raised (as) high;bring up;come forward;come up;dedicate;dedication;donate;extol;go out;go up;going up;installation;load;mount;move up;promote;raise;raising;removal;remove;rise;slip;swear;take up,71,,,,,,,,,,,
elû,L1086428,,,adj,above;upper,71,,,,,,,,,,,
elû,L1086429,,,adj,high;tall,71,,,,,,,,,,,
emdu,L1086430,,,noun,wood as fumigant,71,,,,,,,,,,,
emdu,L1086431,,,adj,adjacent;imposed,71,,,,,,,,,,,
emēdu,L1086432,,,verb,be(come) joined;be(come) stationary;find (refuge);impose;imposition;join;lay;lean on;meet;put on;resort to;set,71,,,,,,,,,,,
emūqu,L1086461,,,noun,ability;army;power;strength;troops,73,,,,,,,,,,,
enēnu,L1086462,,,verb,punish;punishment,73,,,,,,,,,,,
enēšu,L1086463,,,verb,be(come) weak;make weak;weaken,73,,,,,,,,,,,
Enkidu,L1086464,,,pn,Friend of Gilgamesh,,,2;382,,93,Enkimdu,,,,,,
ennettu,L1086465,,,noun,punishment,74,,,,,,,,,,,
enû,L1086466,,,verb,alter;change,74,,,,,,BAL,,,,,
Enūma Anu Enlil,L1086467,,,pn,an astrological compendium,,,2;403,,,,,,,,,
Enūma eliš,L1086468,,,pn,a Babylonian literary work,,,2;403,,,,,,,,,
enūtu,L1086469,,,noun,lordship,74,,,,,,,,,,,
epēqu,L1086470,,,verb,embrace;grow around,74,,,,,,,,,,,
epertu,L1086471,,,noun,fired brick,74,,,,,,,,,,,
epēšu,L1086472,,,verb,do;make;build,75,,,,,,,,,,,
epru,L1086473,,,noun,dust,74,,,,,eperu,,,,,,
eqel qašti,L1086474,,,noun,bow-field' (estate of military colonist),286,,,,,,,,,,,
eqlu,L1086475,,,noun,country;field;land,76,,,,,,A.ŠA₃,,,,,
erbettu,L1086476,,,num,four,76,,,,,,,,,,,
erbu,L1086477,,,noun,income,76,,,,,,,,,,,
erbu,L1086478,,,noun,sunset,77,,,,,,,,,,,
erbû,L1086479,,,noun,locust,77,,,,,,,,,,,
erēbu,L1086480,,,verb,bring in;bringing in;come in;coming in;delivery;enter;entering;entrance;entry;have enter;introduce;make enter;occultation;onset;set;setting,77,,,,,,,,,,,
erēbu,L1086481,,,noun,raven,77,,,,,,,,,,,
ereqqu,L1086482,,,noun,wagon,77,,,,,,GIŠ.MAR.GID₂,,,,,
Ereškigal,L1086483,,,pn,goddess of the underworld,,,2;463,,100,,,,,,,
erēšu,L1086484,,,verb,desire;request;request,77,,,,,,,,,,,
erēšu,L1086485,,,verb,cultivate;cultivation;sowing,77,,,,,,,,,,,
erkallu,L1086486,,,noun,netherworld,77,,,242,,,,,,L1086084,,
ermu,L1086487,,,noun,cover;envelope,79,,,,,,,,,,,
erru,L1086488,,,noun,entrails;intestine(s),79,,,,,,,,,,,
eršahungû,L1086489,,,noun,liturgical work meant to appease the heart of a god,,,2;471,,,,,,,,,
erṣetu,L1086490,,,noun,earth;netherworld,79,,,,,,,,,,,
erû,L1086491,,,noun,bronze;copper,80,,,,,,,,,,,
erû,L1086492,,,noun,eagle,80,,,,,,,,,,,
erû,L1086493,,,noun,grindstone,80,,,,,,,,,,,
Esagil,L1086494,,,pn,temple of Marduk in Babylon,,,2;474,,,,,,,,,
Esarhaddon,,x,,pn,,,,,,,,,,,,,
eṣēdu,L1086495,,,verb,harvest;harvest,80,,,,,,,,,,,
ešertu,L1086496,,,noun,shrine,82,,,,,,,,,,,
ešertu,L1086497,,,noun,group of ten,82,,,,,,,,,,,
ešēru,L1086498,,,verb,be well;be straight,82,,,,,,,,,,,
