term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
kalûtu,L1086642,,,noun,discipline of lamentation;textual corpus of lamentation-priests,143,,,,,,,,,,,
kamāsu,L1086643,,,verb,collect;gather,144,,,,,,,,,,,
kamāsu,L1086644,,,verb,kneel down;kneel;make bow down;make to crouch,144,,,,,,GAM,,,,,
kamû,L1086645,,,verb,bind,145,,,,,,LAL,,,,,
kamû,L1086646,,,adj,vanquished,144,,,,,,,,,,,
kamû,L1086647,,,adj,outer,145,,,,,kawû,AN.AŠ.A.AN;AŠ.A.AN;BAR;BAR.RA,,,,,
kandu,L1086648,,,noun,jar,145,,,,,,,,,,yes,
kapālu,L1086649,,,verb,roll up,147,,,,,,,,,,,
kapāru,L1086650,,,verb,smear,147,,,,,,,,,,,
kapāru,L1086651,,,verb,wipe,147,,,,,,,,,,,
kapāru,L1086652,,,verb,peel,147,,,,,,,,,,,
kapāṣu,L1086653,,,verb,bend back;distort,147,,,,,,,,,,,
kappu,L1086654,,,noun,wing,147,,,,,,PA,,,,,
kappu,L1086656,,,noun,hand;palm,147,,,,,,A₂,,,,,
karābu,L1086657,,,verb,pray;bless;greet,148,,,,,,ŠUD₃,,,,,
karāru,L1086658,,,verb,set down;discard,148,,,,,,,,,,,
karāṣu,L1086659,,,verb,break off;pinch off,148,,,,,garāṣu;harāṣu,,,,,,
karātu,L1086660,,,verb,cut off,149,,,,,,KID₂,,,,,
karšu,L1086661,,,noun,centre;mind;stomach,149,,,,,,,,,,,
karṣu,L1086662,,,noun,slander,149,,,,,,EME.SIG,,,,,
kartu,L1086663,,,adj,shredded,149,,,,,,,,,,,
karû,L1086664,,,verb,be(come) short;diminish,150,,,,,,LUGUD₂,,,,,
kašādu,L1086665,,,verb,achieve;arrive;conquer,152,,,,,,KUR,,,,,
kasāmu,L1086666,,,verb,chop,150,,,,,,GAZ,,,,,
kasāpu,L1086667,,,verb,break (into bits);cut,150,,,,,,,,,,,
kasāpu,L1086668,,,verb,make funerary offering,150,,,,,,,,,,,
kašāpu,L1086669,,,verb,cast spells,152,,,,,,,,,,,
kaṣāru,L1086670,,,verb,tie;gather,151,,,,,,KEŠDA;KAD₂;KAD₃,,,,,
kaṣāṣu,L1086671,,,verb,grind;grate,151,,,,,,KA.GUZ,,,,,
kašdu,L1086672,,,adj,achieved;arrived;conquered,152,,,,,,KUR,,,,,
kasmu,L1086673,,,adj,chopped,150,,,,,,,,,,,
kaspu,,x,,adj,broken,,,,,,,,,,,,
kaspu,L1086674,,,noun,money;silver,150,,,,,,KU₃.BABBAR,,,,,
kašpu,,x,,,,,,,,,,,,,,,
kaṣru,L1086675,,,adj,firmly joined;solid,151,,,,,,,,,,,
kasû,L1086676,,,verb,bind,150,,,,,,,,,,,
kasû,L1086677,,,noun,(a spice plant),150,,,,,,,,,,,
kaṣû,L1086678,,,verb,cool down,151,,,,,,ŠED₇,,,,,
kaṣû,L1086679,,,adj,cold,151,,,,,,ŠED₇,,,,,
kâṣu,L1086680,,,verb,flay,152,,,,,,,,,,,
kāsu,L1086681,,,noun,cup,151,,,,,,GAL,,,,,
katāmu,L1086682,,,verb,cover,153,,,,,,DUL,,,,,
katāru,L1086683,,,verb,get help,153,,,,,,,,,,,
katāru,L1086684,,,verb,hesitate;wait,153,,,,,,,,,,yes,
kātimtu,L1086685,,,noun,net for birds;a kind of door,153,,,,,,,,,,,
katmu,L1086686,,,adj,covered,153,,,,,,,,,,,
kerṣu,L1086687,,,noun,pinced-off piece;lump,155,,,,,gerṣu,,,,,,
kiāšu,L1086688,,,verb,help,155,,,,,,,,,,,
kibrat erbetti,L1086689,,,noun,four edges of the world,156,,,,,,UB.DA.LIMMU₂.DA,,,,,
kibru,L1086690,,,noun,bank;shore,156,,,,,,PIŠ₁₀,,,,,
kigallu,L1086691,,,noun,pedestal;socle,156,,,,,,KI.GAL,,,,,
kilīlu,L1086692,,,noun,wreath,157,,,,,,GILIM,,,,,
kīlu,L1086693,,,noun,captivity;prison,157,,,,,,KI.ŠU₂,,,,,
kilūbu,L1086694,,,noun,cage;trap,157,,,,,,,,,,,yes
kimtu,L1086695,,,noun,family,158,,,,,kintu,IM.RI.A,,,,,
kindabašše,L1086696,,,noun,loincloth,158,,,,,kindabasse,,,,,,
kīnu,L1086697,,,adj,permanent;firm;true,159,,,,,kēnu,GIN;GI.NA,,,,,
kippatu,L1086698,,,noun,circle;circumference;perimeter,159,,,,,,GAM,,,,,
kirinnu,L1086699,,,noun,clay lump,160,,,,,,,,,yes,,
kirû,L1086700,,,noun,plantation;orchard,160,,,,,,GIŠ.KIRI₆,,,L751517,,
kišād nāri,,x,,,,,,,,,,,,,,,
kišādu,L1086701,,,noun,neck;necklace,161,,,,,,UZU.GU₂,,,,,
kisallu,L1086702,,,noun,courtyard,160,,,,,,KISAL,,,L701614,,
kisittu,L1086703,,,noun,branch;stem,161,,,,,,,,,,,
kispu,L1086704,,,noun,funerary offering,161,,,,,,KI.SI₃.GA,,,,,
kiṣru,L1086705,,,noun,knot;concentration;group;rental,161,,,,,,KEŠDA;KA.KEŠDA;I₃.KEŠDA,,,,,
kiṣru šatû,,x,,,,,,,,,,,,,,,
kiššatu,L1086706,,,noun,totality;world,162,,,,,,ŠU₂;ŠAR₂;KIŠ;KI.ŠAR₂.RA,,,,,
kiṣṣu,L1086707,,,noun,shrine,161,,,,,,ITIMA,,,,,
kišukku,L1086708,,,noun,grate,161,,,,,,,,,,,
kitû,L1086709,,,noun,flax;linen;linen garment,163,,,,,,TUG₂.GADA,,,,,
kubšu,L1086710,,,noun,headcloth;turban,164,,,,,,TUG₂.SAGŠU,,,,,
kullulu,L1086711,,,verb,veil;crown,166,,,,,,,,,,,
kullulu,L1086712,,,adj,veiled;crowned,166,,,,,,,,,,,
kummusu,,x,,,,,,,,,,,,,,,
kunukku,L1086713,,,noun,seal;sealed tablet;vertebra,167,,,,,,KIŠIB,,,,,
kuppuṣu,,x,,,,,,,,,,,,,,,
kurrû,L1086714,,,adj,short,169,,,,,,,,,,,
kursimtu,L1086715,,,noun,scale;plate,169,,,,,kurṣimtu;kursittu,,,,,,
kursinnu,L1086716,,,noun,kursinnu,169,,,,,,,,,,,
kurṣiptu,L1086717,,,noun,butterfly,169,,,,,,,,,,,
kurummutu,L1086718,,,noun,rations,169,,,,,kurmatu,ŠUK;ŠUK.HI.A,,,,,
kussû,L1086719,,,noun,chair;sedan chair;throne,170,,,,,,GIŠ.GU.ZA;GIŠ.AŠ.TE,,,,,
kuššudu,L1086720,,,adj,chased (off),171,,,,,,,,,,,
kūṣu,L1086721,,,noun,cold;winter,170,,,,,,EN.TE.NA,,,,,
labābu,L1086722,,,verb,rage,,B 7,,,,,,,,,,
labānu,L1086723,,,verb,stroke;mold bricks,174,,,,,,,,,,,
labāšu,L1086724,,,verb,clothe oneself,174,,,,,,,,,,,
labbu,L1086725,,,noun,lion,,B 24,,,,,,,,,,
labbu,L1086726,,,adj,raging,,B 24,,,,,,,,,,
lagā'u,L1086727,,,noun,scale;dirt;scum,175,,,,,,,,,,,
lagabbu,L1086728,,,noun,lump;clot,175,,,,,,,,,,,
lalā'u,L1086729,,,noun,young goat,176,,,,,laliu;lalû,,,,,,
lamassu,L1086730,,,noun,(female) tutelary deity,177,,,,,,DINGIR.LAMMA,,,,,
lamaštu,L1086731,,,noun,a demoness attacking new-borns,177,,,,,,DINGIR.DIM₃.ME,,,,,
lānu,L1086732,,,noun,body;figure;trunk,177,,,,,,ALAN,,,,,
lapātu,L1086733,,,verb,touch;affect;ruin,177,,,,,,TAG,,,,,
laptu,L1086734,,,adj,touched;affected;ruined,177,,,,,,TAG,,,,,
laqātu,L1086735,,,verb,gather up;glean,177,,,,,,,,,,,
lardu,L1086736,,,noun,a type of grass,178,,,,,,U₂.KI.KAL.HI.RI.IN,,,,,
lawû,L1086737,,,verb,surround;besiege,179,,,,,,NIGIN,,,,,
lawû,L1086738,,,adj,besieged;surrounding,179,,,,,,,,,,,
lemnu,L1086739,,,adj,bad,180,,,,,,HUL,,,,,
leqû,L1086740,,,verb,take,180,,,,,,ŠU.TI;TI;ŠU.BA.AN,,,,,
leqû,L1086741,,,adj,acquired;adopted,180,,,,,,,,,,,
lētu,L1086742,,,noun,cheek;side,180,,,,,,TE,,,,,
libbu,L1086743,,,noun,heart;inner body,181,,,,,,ŠA₃,,,,,
libittu,L1086744,,,noun,mudbrick,181,,,,,,SIG₄,,,,,
līpu,L1086746,,,noun,descendant,183,,,,,lēpu,NUNUZ,,,,,
lišānu,L1086747,,,noun,tongue;language,183,,,,,,EME,,,,,
lu''û,L1086748,,,verb,make dirty,186,,,,,,,,,,,
lubāru,L1086749,,,noun,garment,184,,,,,,TUG₂.HI.A,,,,,
lubuštu,L1086750,,,noun,clothes,184,,,,,,SIKI.BA;TUG₂.HI.A,,,,,
lumāšu,L1086751,,,noun,constellation,185,,,,,,,,,,,
madādu,L1086752,,,verb,measure,187,,,,,,AGA₂,,,,,
magāgu,L1086753,,,verb,have cramps;stick out,188,,,,,,,,,,,
magarru,L1086754,,,noun,chariot;wheel,188,,,,,,GIŠ.UMBIN,,,,,
mahāru,L1086755,,,verb,face;confront;receive,189,,,,,,IGI,,,,,
mahāṣu,L1086756,,,verb,beat;weave,190,,,,,,SIG₃;RA,,,,,
māhāzu,L1086757,,,noun,cult centre,190,,,,,,KI.ŠU.PEŠ₅,,,,,
mahhû,L1086758,,,noun,ecstatic prophet,190,,,,,muhhû,LU₂.GUB.BA,,,,,
mahru,L1086759,,,noun,front;past,191,,,,,,IGI,,,,,
mahru,L1086760,,,adj,acceptable;received;withstood,191,,,,,,IGI,,,,,
mahrû,L1086761,,,adj,former;older,191,,,,,,IGI,,,,,
mahṣu,L1086762,,,adj,beaten;smitten,191,,,,,,,,,,,
mahû,L1086763,,,verb,rave,191,,,,,,,,,,,
mākālu,L1086764,,,noun,food;meal,191,,,,,,,,,,,
makāsu,L1086765,,,verb,levy customs or rental dues,191,,,,,,,,,,,
makāṣu,L1086766,,,noun,slaughtering block,191,,,,,,,,,,,
maksû,L1086767,,,noun,fetters;bandage,192,,,,,,,,,,,
malahhu,L1086768,,,noun,sailor,192,,,,,malāhu,LU₂.MA₂.LAH₄;LU₂.MA₂.LAH₅,,,,,
malīlu,L1086769,,,noun,flute,193,,,,,,GI.GID₂,,,,,
mamītu,L1086770,,,noun,oath;curse,194,,,,,,NAM.ERIM₂,,,,,
maqātu,L1086771,,,verb,fall,196,,,,,,ŠUB,,,,,
maqlû,L1086772,,,noun,burning,196,,,,,,,,,,,
Maqlû,L1086773,,,noun,anti-witchcraft composition,196,,,,,,,,,,,
marāqu,L1086774,,,verb,rub smooth;grind,197,,,,,,,,,,,
marāṣu,L1086775,,,verb,be ill;be difficult,197,,,,,,GIG,,,,,
Marduk,L1086776,,,pn,god of Babylon,,,7;360,,201,,,,,,,
markasu,L1086777,,,noun,bond;moorings;rope,198,,,,,,DUR,,,,,
marru,L1086778,,,adj,bitter,198,,,,,,SES,,,,,
marru,L1086779,,,noun,shovel,198,,,,,,GIŠ.MAR;URUDU.MAR,,,,,
marṣu,L1086780,,,adj,ill;difficult,198,,,,,,,,,,,
mārtu,L1086781,,,noun,daughter;girl,198,,,,,,DUMU.MUNUS,,,,,
māru,L1086782,,,noun,son;descendant,199,,,,,,DUMU,,,,,
maṣallu,L1086783,,,noun,shelter;sleeping place,200,,,,,,,,,,,
mašāšu,L1086784,,,verb,wipe off,201,,,,,,,,,,,
mašennu,L1086785,,,noun,treasurer,201,,,,,,LU₂.AGRIG,,,,,
maṣhatu,L1086786,,,noun,a kind of flour,200,,,,,,ZI₃.MA.AD.GA;ZI₃.MAD.AD.GA,,,,,
mašku,L1086787,,,noun,hide;leather;skin,202,,,,,,KUŠ,,,,,
mašmaššu,L1086788,,,noun,incantation priest,202,,,,,,LU₂.MAŠ.MAŠ,,,,,
mašqaltu,L1086789,,,noun,scales;payment,203,,,,,,,,,,,
maṣṣartu,L1086790,,,noun,garrison;guard;observation;watch,200,,,,,,EN.NUN,,,,,
mašû,L1086791,,,adj,forgotten,203,,,,,,,,,,,
māt Aššur,L1086792,,,noun,land of Assyria,,M1 417,,,,,,,,,,
matqu,L1086793,,,adj,sweet,204,,,,,,KU₇.KU₇,,,,,
mâtu,L1086794,,,verb,die,204,,,,,,UŠ₂,,,,,
mātu,L1086795,,,noun,area;land,204,,,,,,KUR,,,,,
mazû,L1086796,,,adj,squeezed,205,,,,,,KAŠ.SUR.RA,,,,,
melammu,L1086797,,,noun,awesome radiance,207,,,,,,ME.LAM,,,,,
mešrēti,L1086798,,,noun,limbs,209,,,,,,A₂.UR₂,,,,,
mesû,L1086799,,,verb,wash,208,,,,,masû,LUH,,masā'u,,,
mesû,L1086800,,,adj,washed;pure,208,,,,,,,,,,,
mihiṣtu,L1086801,,,noun,blow;cuneiform sign,210,,,,,,,,,,,
mīlu,L1086802,,,noun,flood,210,,,,,,ILLU,,,,,
minûtu,L1086803,,,noun,counting;physique,211,,,,,,ŠITI,,,,,
mīrānu,L1086804,,,noun,puppy,211,,,,,mērānu,,,,,,
misarru,L1086805,,,noun,"belt,band",211,,,,,,KUŠ.E.IB₂,,,,,
miṭirtu,L1086806,,,noun,watercourse,213,,,,,miṭru;miṭratu,,,,,,
miṭṭu,L1086807,,,noun,divine weapon,213,,,,,,GIŠ.TUKUL.DINGIR,,,,,
mītu,L1086808,,,adj,dead,213,,,,,,UŠ₂,,,,,
mû,L1086809,,,noun,watercourse,213,,,,,,A;A.MEŠ,,,,,
muddudu,,x,,,,,,,,,,,,,,,
muhhu,L1086810,,,noun,about;brain;concerning;for;in charge of;in;on;over;skull;to;top,215,,,,,,UGU,,,,,
mukanzibtu,L1086811,,,noun,water clock,215,,,,,,,,,,,
mukru,L1086812,,,noun,loincloth,216,,,,,,,,,,,
muma''iru,L1086813,,,noun,commander,216,,,,,,LU₂.GAL.UKKIN,,,,,
mungu,L1086814,,,noun,cramp,217,,,,,muggu,,,,,,
muraššû,L1086815,,,noun,one who does wrong;quarreler;a wildcat,218,,,,,,,,,,,
mūru,L1086816,,,noun,calf;young foal,219,,,,,,DUR₃,,,,,
mušarû,L1086817,,,noun,inscription,221,,,,,musarû;mušarrû,MU.SAR,,,,,
mušhuššu,L1086818,,,noun,serpent-dragon,222,,,,,,MUŠ.HUŠ,,,,,
mūšu,L1086819,,,noun,night,224,,,,,,GE₆,,,,,
nabalkutu,L1086820,,,verb,cross over;revolt;oppose,227,,,,,,BALA,,,,,
nabalkutu,L1086821,,,adj,overturned;rebellious;turned upside down,227,,,,,,,,,,,
nabāṭu,L1086822,,,verb,be bright;shine,228,,,,,,,,,,,
nabnītu,L1086823,,,noun,creation,228,,,,,,,,,,,
nabṭû,L1086824,,,noun,horizon,228,,,,,,,,,,,
nabû,L1086825,,,adj,called;named,228,,,,,,,,,,,
nabû,L1086826,,,verb,appoint;call;name,228,,,,,,SA₄,,,,,
nadānu,L1086827,,,verb,give,229,,,,,,SUM,,,,,
nadû,,,,adj,abandoned;set down,230,,,,,,ŠUB,,,,,
nadû,,,,verb,throw down;lay down,230,,,,,,ŠUB,,,,,
nagarruru,,x,,verb,writhe;grovel,285,,,,,,,,,,,
naharmuṭu,,,,verb,dissolve;melt,231,,,,,,,,,,,
naharmuṭu,,x,,adj,melted,,,,,,,,,,,,
nahīru,,,,noun,nostril,232,,,,,,KA.BUN₂,,,,,
nahlaptu,,,,noun,garment;cloak;coat,232,,,,,,TUG₂.GU₂.E₃.A,,,,,
nâhu,,,,verb,rest,232,,,,,,HUN.GA₂,,,,,
nakādu,,,,verb,beat;throb,233,,,,,,,,,,,
nakāpu,,,,verb,push;thrust,233,,,,,,DU₇,,,,,
nakāsu,,,,verb,"cut,fell",233,,,,,,KUD,,,,,
nakāšu,,,,verb,set aside,233,,,,,,,,,,,
nakru,,,,adj,strange;foreign;hostile,234,,,,,,KUR₂,,,,,
naksu,,,,adj,cut (off);slaughtered,234,,,,,,,,,,,
nalšu,,,,noun,(nocturnal) dew,234,,,,,,ŠEG₃,,,,,
nâlu,,,,verb,lie down,235,,,,,niālu,NU₂,,,,,
nammaštû,,,,noun,"moving things,animals",236,,,,,,A.ZA.LU.LU;NIG₂.ZI.GAL₂,,,,,
namzāqu,,,,noun,key,237,,,,,,GIŠ.E₁₁,,,,,
namzītu,,,,noun,mash tub,237,,,,,,DUG.NIG₂.DUR₂.BUR₃,,,,,
nannāru,,,,noun,light (of the sky),237,,,,,,DINGIR.NANNA,,,,,
napalsuhu,,,,verb,prostrate oneself,237,,,,,,,,,,,
napālu,,,,verb,dig out;demolish,237,,,,,,,,,,,
napaštu,,,,noun,life;throat,238,,,,,napaltu;napšutu;napšatu,,,,,,
napāšu,,,,verb,"breathe,become wide",238,,,,,,PEŠ₅;PA.AN,,,,,
napāšu,,,,verb,pluck,238,,,,,,,,,,,
Napiriša,,,,pn,"Elam deity, possibly a moon god",,,9;163,,228,,,,,,,
naplusu,,x,,,,,,,,,,IGI.BAR,,,,,
naprušu,,,,verb,fly,239,,,,,,DAL,,,,,
naqāru,,,,verb,demolish,240,,,,,,,,,,,
narāmu,,,,noun,beloved,241,,,,,,,,,,,
narkabtu,,,,noun,chariot,242,,,,,,GIŠ.GIGIR,,,,,
nāru,,,,noun,musician;singer,242,,,,,,LU₂.NAR,,,,,
nāru,,,,noun,canal;river,242,,,,,,ID₂,,,,,
našābu,,,,verb,blow away,245,,,,,,,,,,,
nasāhu,,,,verb,"tear out, draw out",242,,,,,,ZI,,,,,
našāku,,,,verb,bite,244,,,,,,ZU₂.KUD,,,,,
našāru,,,,verb,"deduct,reduce",245,,,,,,,,,,,
naṣāru,,,,verb,guard;keep guard;keeping guard;look for;observe;protect;protection;watch,244,,,,,,URU₃,,,,,
nasāsu,,,,verb,moan,243,,,,,,,,,,,
našāšu,,,,verb,shake,245,,,,,,,,,,,
nashuru,,,,noun,favourable attention,243,,,,,,,,,,,
našru,,,,noun,eagle,245,,,,,,,,,,,
našû,,,,verb,"lift,carry",246,,,,,,IL₂,,,,,
našû,,,,adj,"lifted,carried",246,,,,,,,,,,,
nâšu,,,,verb,rock;shift,246,,,,,,TUKU₄,,,,,
naṭālu,,,,verb,look at,247,,,,,,IGI;IGI.DU₈;IGI.GAL₂,,,,,
naṭû,,,,verb,beat;flog,247,,,,,,,,,,,
naṭû,,,,adj,suitable,247,,,,,,,,,,,
nawāru,,,,verb,be bright;shine,247,,,,,,ZALAG₂,,,,,
nazāzu,,,,verb,make swIshing sound,248,,,,,,,,,,,
ne'û,,,,verb,turn around,251,,,,,,,,,,,
nēbuhu,,,,noun,belt,248,,,,,,TUG₂.IB₂.LA₂,,,,,
nēhu,,,,adj,calm;quiet,249,,,,,,,,,,,
nekelmû,,,,verb,glare at,249,,,,,,,,,,,
nēmelu,,,,noun,profit,249,,,,,,A₂.TUKU,,nēmulu,,,
nēmequ,,,,noun,wisdom,249,,,,,,NAM.KU₃.ZU,,,,,
nepelkû,,,,verb,be wide,250,,,,,nepalkû,,,,,,
neqelpû,,,,verb,glide;sail downstream,250,,,,,,DIRI,,,,,
nērāru,,,,noun,aid,250,,,,,ne'rāru,ERIN₂.TAH₂,,,,,
nêru,,,,verb,kill,250,,,,,,SAG.GIŠ.RA,,,,,
nēšu,,,,noun,lion,251,,,,,,UR.MAH;UR.A,,,,,
Nineveh,,,,pn,Capital of neo-assyrian empire,,,9;388,,,,,,,,,
Ningirsu,,x,,pn,,,,9;512,,,Ninurta,,,,,,
nīqu,,,,noun,offering,254,,,,,,UDU.SISKUR₂;UDU.SISKUR,,,,,
nīš ili,,,,noun,oath on life of the gods,256,,,,,,,,,,,
niṣirtu,,,,noun,secret;treasure,255,,,,,,MUNUS.URU₃,,,,,
nišû,,,,noun,people,255,,,,,nīšû;nēšû,UN.MEŠ,,,,,
nīšu,,,,noun,(oath on the) life,256,,,,,,MU,,,,,
nīšu,,,,noun,glance (of favour);honour;lifting,256,,,,,,IL₂;ZI.GA,,,,,
nuhšū,,,,noun,abundance;prosperity,257,,,,,,HE₂.NUN,,,,,
nūnu,,,,noun,fish,258,,,,,,KU₆,,,,,
pa'āṣu,,,,verb,crush;break up,260,,,,,pêṣu,,,,,,
padû,,,,verb,spare;set free,260,,,,,,,,,,,
pagālu,,,,verb,be strong,260,,,,,,,,,,,
pagru,,,,noun,body;corpse,261,,,,,,AD₆,,,,,
pahādu,,,,verb,be afraid,260,,,,,,,,,,,yes
pahāru,,,,verb,assemble;gather,261,,,,,,NIGIN,,,,,
pahāru,,,,noun,potter,261,,,,,,LU₂.BAHAR₂,,,L700735,,
palāhu,,,,verb,fear,261,,,,,,MUD,,,,,
palāsu,,,,verb,look at,261,,,,,,,,,,,
palgu,,,,noun,ditch,262,,,,,,PA₅,,,,,
palû,,,,noun,dynasty;period of office;regnal year;reign;staff,262,,,,,,BALA,,,L721514,,
panātu,,,,noun,front part,263,,,,,,IGI,,,,,
panītu,,,,noun,earlier time,263,,,,,,,,,,,
panû,,,,verb,face;be ahead,263,,,,,,,,,,,
pānu,,,,noun,face;front,263,,,,,,IGI,,,,,
pānû,,,,adj,previous,263,,,,,,,,,,,
paqādu,,,,verb,"entrust,appoint",264,,,,,,,,,,,
paqdu,,,,adj,appointed;entrusted,264,,,,,,,,,,,
par'u,,,,adj,sliced,267,,,,,,,,,,,
parā'u,,,,verb,sprout,266,,,,,,,,,,,
parā'u,,,,verb,slice through,266,,,,,parāhu,,,,,,
parādu,,,,verb,be scared,264,,,,,,,,,,,
parāku,,,,verb,lay across;block,265,,,,,parāhu,GIB,,,,,
parāsu,,,,verb,divide;decide,265,,,,,,KUD,,,,,
parīsu,,,,noun,punting pole,,,,,,,,,,,,
parsu,,,,adj,divided;decided,,,,,,,,,,,,
parṣu,,,,noun,rites;cultic function,,,,,,,,,,,,
pašāhu,,,,verb,calm down;be relieved,,,,,,,,,,,,
pasāmu,,,,verb,veil,268,,,,,,,,,,,
pašāqu,,,,verb,be narrow;be difficult,269,,,,,,,,,,,
pašāru,,,,verb,release;set free,269,,,,,,BUR₂,,,,,
pašāṭu,,,,verb,erase,269,,,,,,LAL,,,,,
pašru,,,,adj,released;undone,269,,,,,,BUR₂,,,,,
paššuru,,,,noun,table,270,,,,,,GIŠ.BANŠUR,,,L716960,,
pāštu,,,,noun,ax,270,,,,,,URUDU.DUR₁₀.TAB.BA,,,,,
pašû,,,,verb,exhale,270,,,,,,,,,,,
pāšu,,,,noun,ax,270,,,,,,GIN₂,,,,,
patālu,,,,verb,twist,270,,,,,,,,,,,
patānu,,,,verb,dine,270,,,,,,,,,,,
patānu,,,,verb,become strong,270,,,,,petēnu,,,,,,
paṭāru,,,,verb,loosen;release,271,,,,,,DU₈,,,,,
patru,,,,noun,dagger;sword,270,,,,,,GIR₂,,,,,
paṭru,,,,adj,released;loosened,271,,,,,,,,,,,
pāṭu,,,,noun,border;limit,271,,,,,,ZAG,,,,,
pazāru,,,,verb,hide,271,,,,,,,,,,,
pehû,,,,verb,close;block off,272,,,,,,UŠ₂,,,,,
pehû,,,,adj,closed,272,,,,,,SAG.GI₄,,,,,
pelludû,,,,noun,cultic rites,272,,,,,billudû;pilludû,,,,L711404,,
pelû,,,,adj,red,272,,,,,,,,,,,
pelû,,,,verb,be red,272,,,,,,,,,,,
pelû,,,,noun,egg,272,,,,,,NUNUZ,,,,,
pēmtu,,,,noun,charcoal,272,,,,,,NE,,,,,
pēmu,,,,noun,(upper) thigh,272,,,,,,HAŠ₂.GAL;UZU.UR₂,,,,,
pērtu,,,,noun,hair (of head),273,,,,,,,,,,,
pesēnu,,,,verb,cover up;veil,273,,,,,,,,,,,
peṣû,,,,adj,white;bare,273,,,,,paṣ'u;paṣû,BABBAR,,,,,
petû,,,,adj,distant;open;spread out,273,,,,,,,,,,,
petû,,,,verb,open;open up,273,,,,,,BAD,,,,,
piāqu,,,,verb,make narrow,274,,,,,,,,,,,
pīhātu,,,,noun,province;responsibility;provincial governor,274,,,,,pāhātu,NAM,,,,,
pilku,,,,noun,demarcated zone;work assignment,274,,,,,,,,,,,
pišannu,,,,noun,box;chest,276,,,,,pisannu,GIŠ.PISAN;GI.PISAN,,,,,
pitiltu,,,,noun,cord,276,,,,,,ŠU.SAR,,,,,
pû,,,,noun,chaff;hay,277,,,,,pā'u;pīu,IN.BUBBU,,,,,
pû,,,,noun,mouth;word,277,,,,,pā'u;pīu,KA,,,,,
puhādu,,,,noun,lamb,277,,,,,,SILA₄,,,,,
puhhu,,,,verb,exchange,277,,,,,,,,,,,
puhhuru,,,,adj,assembled,277,,,,,,,,,,,
puhpuhhû,,,,noun,brawl,277,,,,,,,,,,,
puhru,,,,noun,assembly,277,,,,,,UKKIN,,,,,
puhru,,x,,adj,gathered,,,,,,,,,,,,
pukkuru,,,,verb,tie up,278,,,,,,,,,,yes,
pulukku,,,,noun,needle;stake,278,,,,,,BULUG,,,,,
pūtu,,,,noun,forehead,278,,,,,,SAG.KI,,,,,
pūtu,,,,noun,opening,280,,,,,,,,,,,
qablu,,,,noun,battle;onslaught,281,,,,,,MURU₂,,,,,
qablu,,,,noun,hips;center,281,,,,,,MURU₂,,,,,
qablu,,,,noun,grove,281,,,,,,MURU₂,,,,,
qabû,,x,,adj,ordered;said,,,,,,,,,,,,
qabû,,,,verb,say;command,282,,,,,,DU₁₁,,,,,
qadādu,,,,verb,bend down,282,,,,,,,,,,,
qaddu,,,,adj,bent down,282,,,,,,,,,,,
qalāpu,,,,verb,peel,283,,,,,,,,,,,
qalliš,,,,adv,lightly,283,,,,,,,,,,,
qallu,,,,adj,light;slight,283,,,,,,QAL₃,,,,,
qan ṭuppi,,,,noun,writing reed,284,,,,,,GI.DUB.BA,,,,,
qannu,,,,noun,edge;border,284,,,,,,SI,,,,,
qanû,,,,noun,reed,284,,,,,,GI,,,,,
qaqqadu,,,,noun,head,284,,,,,,SAG.DU,,,,,
qaqqaru,,,,noun,ground,284,,,,,,KI,,,,,
qarābu,,,,noun,battle,285,,,,,,,,,,yes,
qarāru,,,,verb,writhe;grovel,285,,,,,,,,,,,
qarnu,,,,noun,horn,285,,,,,,SI,,,,,
qaštu,,,,noun,archer;bow,286,,,,,,GIŠ.PAN,,,,,
qatānu,,,,verb,be thin;narrow,286,,,,,,SIG,,,,,
qatāru,,,,noun,fumigant,286,,,,,,,,,,,
qatāru,,,,verb,smoke;be gloomy,286,,,,,,,,,,,
qatru,,,,adj,smoky,286,,,,,,,,,,,
qātu,,,,noun,hand,287,,,,,,ŠU,,,,,
qebēru,,,,verb,bury,287,,,,,qabāru,,,,,,
qebēru,,,,verb,burial;bury,288,,,,,,KU.NU,,,,,
qerû,,,,verb,call;invite,288,,,,,,,,qarā'u,,,
qiāšu,,,,verb,bestow,289,,,,,,BA,,,,,
qibītu,,,,noun,command;prayer;speech,289,,,,,,DU₁₁.GA,,,,,
qimmatu,,,,noun,plume,289,,,,,,SUHUR,,,,,
qinnatu,,,,noun,butt,289,,,,,,GU.DU,,,,,
qinnu,,,,noun,nest,289,,,,,,GUD₃,,,,,
qû,,,,noun,thread,290,,,,,,GU,,,,,
qû,,,,noun,a unit of capacity (approx. 1 liter),290,,,,,,SILA₃,,,,,
qu'û,,,,verb,to wait,298,,,,,,,,,,,
quppu,,,,noun,basket;box,291,,,,,,,,,,,
qurbu,,,,adj,near,291,,,,,,,,,,,
qurbu,,,,noun,neighbour;relative,291,,,,,,,,,,,
qurbūtu,,,,noun,closeness,291,,,,,,,,,,,
qurdu,,,,noun,heroic acts;heroism,291,,,,,,,,,,,
